protein,PCC
CD86,0.419031167909693
CD274,0.2164093097935574
CD270,0.36104901416603397
CD155,0.6121086219124119
CD112,0.7627916828215201
CD47,0.6305996796244401
CD48,0.8166828572340072
CD40,0.41120694638740696
CD154,0.4146086630157485
CD52,0.5109110284399618
CD3,0.12128118655153172
CD8,0.16643442735357106
CD56,0.2329394483743562
CD19,0.21179704226118704
CD33,0.5941372313542242
CD11c,0.5140316881857165
HLA-A-B-C,0.6580687765633191
CD45RA,0.7758787547146389
CD123,0.6104570425746542
CD7,0.08907600730009714
CD105,0.3863165741023423
CD49f,0.7386385144769196
CD194,0.09370693383379064
CD4,0.3068251669803193
CD44,0.6554974583152924
CD14,0.20419168473145244
CD16,0.08211682005855765
CD25,0.19485852163218606
CD45RO,0.43178690485516863
CD279,0.25260895784958104
TIGIT,0.23364715947512027
Mouse-IgG1,0.2775048829095738
Mouse-IgG2a,0.17525366149532814
Mouse-IgG2b,0.15541682203025653
Rat-IgG2b,0.13568996349026655
CD20,0.13029600382356407
CD335,0.4383504488346987
CD31,0.7011362303713814
Podoplanin,0.4088244180198595
CD146,0.1566112654549312
IgM,0.11751030857624935
CD5,0.27948084490619574
CD195,0.319117534852405
CD32,0.8212927739169704
CD196,0.25920408045117116
CD185,0.17453764556646523
CD103,0.45159111028013194
CD69,0.3069291148608918
CD62L,0.7533730231979093
CD161,0.14615070543562622
CD152,0.4032149757366115
CD223,0.20854988258227317
KLRG1,0.5750289777012914
CD27,0.05517300013946567
CD107a,0.5207200843332767
CD95,0.6000050235730711
CD134,0.24686889772441117
HLA-DR,0.6241959175566254
CD1c,0.16402899884632655
CD11b,0.16566973697987433
CD64,0.4453294613935864
CD141,0.48278221226120255
CD1d,0.43737608851082665
CD314,0.31396500629951657
CD35,0.44240874985099926
CD57,0.362875960595871
CD272,0.5289643174201744
CD278,0.38012447336009303
CD58,0.6421496435518077
CD39,0.44707861291241896
CX3CR1,0.25228380226188246
CD24,0.21837062253637582
CD21,0.1513057922757205
CD11a,0.7489318282548645
CD79b,0.19846269171323946
CD244,0.6765589902505441
CD169,0.201574430139574
integrinB7,0.41211120742055996
CD268,0.08069686791045401
CD42b,0.4371215810642322
CD54,0.6705602280830675
CD62P,0.4967873140569424
CD119,0.4327795925373534
TCR,0.3047858967811674
Rat-IgG1,0.1570006336330964
Rat-IgG2a,0.17358088892061577
CD192,0.34592884739033014
CD122,0.13981145962975422
FceRIa,0.6847214426397794
CD41,0.9061972254509235
CD137,0.47948707297563714
CD163,0.18338409598809222
CD83,0.3342360840861404
CD124,0.4240440465071385
CD13,0.754103204341644
CD2,0.19473697168786472
CD226,0.36689635416279365
CD29,0.7245376405402055
CD303,0.18094338797654608
CD49b,0.7850582838054895
CD81,0.6939408377140098
IgD,0.02785995883172111
CD18,0.5158595420844083
CD28,0.38360200839587316
CD38,0.7022625799032318
CD127,0.26834507148828785
CD45,0.7147204131561486
CD22,0.2689305200210529
CD71,0.7909331148737602
CD26,0.5589389785472959
CD115,0.7007922930142787
CD63,0.6662241552079181
CD304,0.6334406760624424
CD36,0.7491528635562277
CD172a,0.2642078759834833
CD72,0.4980743557352803
CD158,0.5444593657239774
CD93,0.2992997000352906
CD49a,0.3306258496521381
CD49d,0.6571287406730912
CD73,0.24153933651017048
CD9,0.6605667627290928
TCRVa7.2,0.11357411395418436
TCRVd2,0.09784120016480183
LOX-1,0.34967829493126484
CD158b,0.32058964727072226
CD158e1,0.15206723235617212
CD142,0.5023792824350555
CD319,0.21515165055267987
CD352,0.23224146651628622
CD94,0.13847914094393216
CD162,0.5428199123177889
CD85j,0.4476414217287871
CD23,0.20130347956155262
CD328,0.560791779522783
HLA-E,0.3341826898115555
CD82,0.7250455434117926
CD101,0.6532257376351698
CD88,0.8024625581534388
CD224,0.5348485365186894
