feature,mean_absolute_coefficient
PC3,0.3943257
PC10,0.27213985
PC11,0.24482296
PC4,0.21716657
PC5,0.2051124
PC1,0.18163618
PC13,0.15002227
PC6,0.13585554
PC2,0.12888996
PC14,0.118766904
PC12,0.114477046
PC8,0.10434419
PC16,0.099522464
PC9,0.09037209
PC21,0.08068863
PC7,0.07854057
PC15,0.071759485
PC29,0.06554921
PC27,0.06551315
PC22,0.05918383
PC23,0.059115272
PC17,0.057326335
PC26,0.054458156
PC32,0.049075693
PC20,0.04780774
PC18,0.04633102
PC31,0.046322465
PC19,0.04552989
PC30,0.043504674
PC41,0.042091593
PC24,0.040131252
PC25,0.03836223
PC38,0.03709468
PC34,0.03437164
PC28,0.032460235
PC35,0.0318023
PC40,0.03042123
PC45,0.029688474
PC33,0.029124655
PC36,0.025930315
PC42,0.025776094
PC39,0.024223294
PC44,0.023790035
PC37,0.023548398
PC43,0.022705473
PC46,0.020510128
PC47,0.017723639
PC49,0.017047556
PC48,0.016699053
PC50,0.013208077
